Vin,Vout,Vbat,Iload,Ichg,Temp_bat,Temp_tx,mains_ok,mode_bat,fault_type
227.65,228.21,12.39,0.77,1.21,33.91,30.73,1,0,normal
237.5,226.38,13.55,4.66,1.9,21.93,38.0,1,0,normal
237.73,203.69,9.4,5.6,0.18,27.24,34.24,1,1,battery_low
239.15,225.78,10.96,1.55,0.02,36.6,43.46,1,0,charging_fault
226.02,50.9,11.96,15.63,0.0,50.19,91.59,1,0,short_circuit
227.2,230.09,12.15,4.24,0.0,20.32,35.11,1,0,normal
236.56,226.38,12.86,2.93,1.47,25.65,26.74,1,0,normal
238.58,228.08,13.06,6.24,0.13,31.28,36.42,1,0,normal
222.48,223.88,12.39,1.06,0.84,31.63,45.82,1,0,normal
120.81,212.13,10.91,5.0,0.0,29.8,43.14,0,1,mains_fail
231.1,223.29,11.52,5.67,0.06,35.74,52.37,1,0,charging_fault
229.94,228.79,13.46,3.66,0.07,20.13,26.62,1,0,normal
223.36,228.79,12.13,6.87,0.1,28.87,54.23,1,0,charging_fault
227.79,228.15,12.57,4.48,1.69,21.17,46.32,1,0,normal
222.42,225.0,12.43,6.7,0.43,36.85,47.94,1,0,normal
239.27,219.45,12.36,2.3,0.04,22.57,26.0,1,0,charging_fault
237.81,205.66,13.25,11.85,0.44,51.9,91.93,1,0,overload
230.62,227.62,12.78,0.51,1.06,26.65,41.89,1,0,normal
7.7,213.78,11.08,6.38,0.0,25.86,59.2,0,1,mains_fail
234.98,209.5,13.56,8.35,0.69,56.96,104.76,1,0,transformer_overheat
223.02,222.76,11.28,6.1,0.06,30.06,55.19,1,0,charging_fault
221.72,227.12,13.75,5.36,1.17,26.93,41.89,1,0,normal
227.03,224.61,12.43,4.4,1.34,23.36,32.48,1,0,normal
224.86,225.08,12.42,1.15,0.9,29.31,29.87,1,0,normal
233.96,230.43,12.17,3.34,1.9,31.86,36.76,1,0,normal
231.68,226.98,12.45,2.19,1.29,23.64,24.55,1,0,normal
235.23,221.59,13.17,3.09,0.4,34.63,31.04,1,0,normal
231.0,228.5,12.6,3.27,0.39,28.11,27.66,1,0,normal
219.36,190.89,12.81,10.95,0.0,45.43,63.75,1,0,overload
3.04,219.62,10.63,2.56,0.0,33.34,41.95,0,1,mains_fail
182.53,215.37,11.13,0.57,0.0,20.48,37.72,0,1,mains_fail
229.32,226.94,13.89,7.05,0.11,37.11,40.2,1,0,normal
221.64,227.69,13.57,7.67,1.73,38.68,49.98,1,0,normal
223.92,222.87,12.89,1.8,0.05,21.13,40.13,1,0,normal
186.73,211.64,12.13,6.72,0.0,40.23,57.32,0,1,mains_fail
231.29,222.89,13.13,4.53,0.15,33.64,40.49,1,0,normal
225.22,223.41,13.53,1.15,1.15,28.36,35.37,1,0,normal
231.28,225.52,13.46,1.12,1.76,34.03,38.87,1,0,normal
108.74,226.05,10.82,4.84,0.0,20.21,44.3,0,1,mains_fail
221.8,202.59,9.81,2.71,0.14,32.53,48.91,1,1,battery_low
221.93,214.88,10.02,2.54,0.16,23.53,42.07,1,1,battery_low
224.6,16.13,11.37,25.78,0.0,67.46,90.36,1,0,short_circuit
241.12,229.06,12.56,5.6,1.66,33.64,48.99,1,0,normal
227.12,223.45,12.28,2.73,1.76,31.12,39.05,1,0,normal
222.39,226.7,11.19,7.13,0.02,37.24,41.73,1,0,charging_fault
236.92,221.4,13.11,7.61,1.36,26.94,45.58,1,0,normal
226.54,222.09,12.37,7.35,0.32,29.67,36.14,1,0,normal
238.55,222.46,12.79,4.39,1.45,20.81,30.82,1,0,normal
235.93,226.92,13.01,3.03,0.85,23.47,25.84,1,0,normal
223.48,229.47,12.99,7.13,1.99,28.78,49.42,1,0,normal
224.51,224.43,12.62,7.3,1.54,31.58,53.41,1,0,normal
220.44,223.7,12.19,6.85,0.25,33.37,60.12,1,0,normal
227.1,221.0,12.39,2.02,2.06,34.52,31.77,1,0,normal
238.88,226.23,11.16,7.81,0.0,28.4,55.23,1,0,charging_fault
221.33,211.51,13.27,6.42,0.53,50.78,130.25,1,0,transformer_overheat
89.23,221.96,11.11,3.95,0.0,37.28,47.76,0,1,mains_fail
234.75,226.32,13.49,0.66,0.16,36.36,45.85,1,0,normal
237.18,226.36,13.21,6.3,0.0,35.55,50.3,1,0,normal
235.1,220.7,13.35,6.4,0.19,29.3,37.09,1,0,normal
231.46,225.99,12.5,2.98,1.68,21.8,43.73,1,0,normal
220.46,223.91,12.83,6.99,1.78,28.55,44.16,1,0,normal
23.85,219.54,10.95,3.89,0.0,28.95,33.78,0,1,mains_fail
225.31,225.75,12.11,2.58,1.77,23.17,41.44,1,0,normal
235.75,230.03,13.73,1.69,1.34,31.86,45.76,1,0,normal
145.42,211.57,10.98,5.95,0.0,36.72,25.78,0,1,mains_fail
227.29,226.79,13.01,3.73,1.45,30.38,46.24,1,0,normal
221.26,223.63,12.09,1.83,0.14,27.85,38.8,1,0,normal
78.68,217.17,11.06,3.13,0.0,35.78,44.06,0,1,mains_fail
225.33,219.15,12.31,5.05,0.69,27.46,26.83,1,0,normal
227.62,227.98,12.91,5.57,0.42,28.46,42.87,1,0,normal
10.92,218.0,11.7,1.65,0.0,35.65,24.97,0,1,mains_fail
234.07,222.26,13.29,3.2,1.08,24.73,41.57,1,0,normal
224.15,229.74,11.95,2.73,0.03,25.91,55.66,1,0,charging_fault
231.12,204.86,9.85,6.72,0.08,29.58,41.53,1,1,battery_low
231.66,227.55,13.65,1.37,1.21,28.63,26.48,1,0,normal
231.96,222.08,12.39,3.59,1.21,29.53,28.36,1,0,normal
183.18,213.54,10.99,4.03,0.0,27.81,48.48,0,1,mains_fail
172.81,214.39,10.97,3.48,0.0,25.34,32.49,0,1,mains_fail
233.06,222.17,12.48,6.49,1.35,34.07,41.07,1,0,normal
232.16,228.39,12.28,2.93,1.24,21.46,28.12,1,0,normal
237.62,214.87,10.48,6.84,0.03,45.02,61.8,1,1,battery_low
229.58,209.28,12.2,8.45,1.53,26.11,54.36,1,0,normal
234.19,221.94,12.2,2.05,1.6,28.63,39.62,1,0,normal
235.82,220.64,13.0,1.91,0.91,27.66,38.37,1,0,normal
223.62,224.73,11.76,4.74,0.09,32.59,52.3,1,0,charging_fault
222.54,222.36,13.33,0.96,2.06,21.77,25.29,1,0,normal
237.62,229.46,13.69,0.43,0.56,31.52,46.0,1,0,normal
221.85,220.74,12.34,7.55,0.96,41.15,108.36,1,0,transformer_overheat
236.33,224.31,13.63,2.8,0.78,32.59,30.75,1,0,normal
226.58,222.88,11.07,6.08,0.02,46.07,57.13,1,0,charging_fault
221.75,219.88,13.57,4.35,0.64,23.17,35.68,1,0,normal
224.34,223.31,12.73,7.03,1.66,60.03,105.21,1,0,transformer_overheat
228.91,224.92,12.81,2.79,1.73,34.36,50.57,1,0,normal
231.44,223.42,13.22,4.06,0.62,25.44,30.67,1,0,normal
223.19,225.0,13.45,4.32,0.48,27.06,47.74,1,0,normal
238.22,227.39,12.61,1.95,1.17,30.94,48.29,1,0,normal
229.02,226.34,12.18,5.13,0.66,26.46,37.65,1,0,normal
231.44,224.96,13.21,6.78,1.9,37.98,49.35,1,0,normal
60.09,212.47,10.98,6.1,0.0,28.62,64.84,0,1,mains_fail
235.69,222.37,12.78,4.34,0.09,26.72,36.63,1,0,normal
6.99,210.35,11.76,2.15,0.0,25.03,33.89,0,1,mains_fail
240.88,230.1,13.04,0.81,0.08,28.47,35.89,1,0,normal
219.05,225.16,12.61,7.9,1.28,30.64,49.21,1,0,normal
221.17,223.16,13.26,2.79,0.17,23.14,34.66,1,0,normal
231.76,194.87,12.44,11.11,0.04,37.27,68.06,1,0,overload
236.14,229.16,12.23,2.86,1.2,30.89,23.53,1,0,normal
228.9,210.91,12.9,12.39,0.69,41.73,71.55,1,0,overload
231.85,222.32,13.52,5.34,0.16,26.58,47.56,1,0,normal
225.93,220.47,13.5,0.84,1.08,31.47,48.22,1,0,normal
230.19,203.99,13.57,8.66,1.31,25.91,60.5,1,0,normal
239.66,227.78,12.57,2.83,1.67,30.76,34.96,1,0,normal
227.86,221.41,12.74,1.52,0.29,27.8,30.3,1,0,normal
229.85,219.83,12.34,7.15,1.62,33.24,44.51,1,0,normal
229.05,228.07,13.4,2.27,1.63,29.48,25.4,1,0,normal
220.29,225.91,13.38,0.94,1.49,23.06,46.59,1,0,normal
233.31,221.38,13.17,3.42,1.73,22.1,28.17,1,0,normal
231.39,228.37,13.35,3.37,0.14,21.64,35.98,1,0,normal
239.77,224.79,12.56,5.54,0.4,21.22,30.48,1,0,normal
225.08,32.43,12.46,25.02,0.0,49.66,104.25,1,0,short_circuit
29.36,219.57,10.58,2.73,0.0,35.25,53.59,0,1,mains_fail
222.8,228.77,13.97,5.07,0.63,29.96,36.66,1,0,normal
238.35,32.22,10.24,24.98,0.0,48.54,101.97,1,0,short_circuit
238.27,229.16,12.47,3.12,0.86,23.73,45.43,1,0,normal
